titre,titre_original,date,duree,descriptions,genre,langue_origine,pays,public,score,acteurs,nbSaisons,nbEpisodes
La mélodie du bonheur,The Sound of Music,17 février 1966,172,Une femme quitte un couvent autrichien pour devenir gouvernante auprès des enfants d'un officier de la marine veuf.,"Biographique,Drame,Famille","Anglais,Allemand",États-Unis,Tous publics,8.1,"Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,Peggy Wood,Charmian Carr,Heather Menzies-Urich,Nicholas Hammond,Duane Chase,Angela Cartwright,Debbie Turner,Kym Karath,Anna Lee,Portia Nelson,Ben Wright,Daniel Truhitte,Norma Varden,Gilchrist Stuart",,
Luke la main froide,Cool Hand Luke,1 décembre 1967,127,"Un homme est condamné à deux ans de prison, forcé à travailler dans le ""chain gangs"" à la construction de routes. Il refuse de se conformer, attirant l'admiration de ses camarades et le courroux des gardiens.","Policier,Drame",Anglais,États-Unis,12,8.1,"Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,Lou Antonio,Robert Drivas,Jo Van Fleet,Clifton James,Morgan Woodward,Luke Askew,Marc Cavell,Richard Davalos,Robert Donner,Warren Finnerty,Dennis Hopper,John McLiam,Wayne Rogers,Harry Dean Stanton",,
Mademoiselle,Ah-ga-ssi,1 novembre 2016,145,"Une femme est embauchée en tant que servante d'une héritière japonaise, mais elle est secrètement impliquée dans un complot visant à l'escroquer.","Drame,Romantique,Thriller","Coréen,Japonais",Corée du Sud,12,8.1,"Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Moon So-ri,Kim Tae-ri,Yong-nyeo Lee,Min-chae Yoo,Dong-hwi Lee,Kim Hae-sook,Kyu-jung Lee,Si-eun Kim,Si-yeon Ha,Rina Takagi,Geun-hee Won,Jong-Dae Kim,Han-sun Jang,Eun-yeong Kim,Ri-woo Kim",,
Persona,Persona,21 décembre 1966,85,Une actrice muette est confiée à une infirmière qui constate que leurs personnalités se confondent.,"Drame,Thriller","Suédois,Anglais",Suède,Tous publics,8.1,"Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,Jörgen Lindström",,
Les Quatre Cents Coups,Les quatre cents coups,3 juin 1959,99,Un jeune garçon laissé sans surveillance plonge dans une vie de petite délinquance.,"Policier,Drame","Français,Anglais",France,Tous publics,8.1,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon",,
Amours chiennes,Amores perros,1 novembre 2000,154,"Un horrible accident de voiture relie trois histoires, chacune impliquant des personnages faisant face à la perte, au regret et aux dures réalités de la vie, tout cela au nom de l'amour.","Drame,Thriller",Espagnol,Mexique,12,8.1,"Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,Vanessa Bauche,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Ricardo Dalmacci,Gustavo Sánchez Parra",,
Rebecca,Rebecca,22 mai 1947,130,"Un jeune Lord anglais emmène sa jeune épouse dans son manoir où plane le souvenir de sa première femme, Rebecca...","Drame,Film noir,Mystère","Anglais,Français",États-Unis,Tous publics,8.1,"Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Nigel Bruce,Reginald Denny,C. Aubrey Smith,Gladys Cooper,Florence Bates,Melville Cooper,Leo G. Carroll,Leonard Carey,Lumsden Hare,Edward Fielding,Philip Winter,Forrester Harvey,Bunny Beatty,Billy Bevan",,
Jai Bhim,Jai Bhim,1 novembre 2021,164,"Lorsqu'un homme tribal est arrêté pour une affaire de vol présumé, sa femme se tourne vers un avocat des droits de l'homme pour aider à rendre justice.","Policier,Drame,Mystère","Tamoul,Hindi,Telugu",Inde,TV-MA,8.8,"Suriya,Lijo Mol Jose,Manikandan K.,Rajisha Vijayan,Prakash Raj,Rao Ramesh,Guru Somasundaram,M.S. Bhaskar,V. Jayaprakash,Sibi Thomas,Ilavarasu,Jayarao,Sujatha Sivakumar,Ravi Venkatraman,Tamizh,Kumaravel,Supergood Subramani,Bala Hasan",,
Mon père et mon fils,Babam ve Oglum,3 mai 2006,112,La famille d'un journaliste de gauche se déchire après le coup d'État militaire de 1980 en Turquie.,"Drame,Famille",Turc,Turquie,Tous Public,8.2,"Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,Serif Sezer,Yetkin Dikinciler,Binnur Kaya,Mahmut Gökgöz,Nergis Çorakçi,Bilge Sen,Tuba Büyüküstün,Özge Özberk,Erdal Tosun,Halit Ergenç,Tugyan Akay Kavukçu,Ege Kaya,Muzaffer Demirel,Burak Akçakaya",,
Pirates des Caraïbes : La malédiction du Black Pearl,The Curse of the Black Pearl,13 août 2003,143,"Le forgeron Will Turner fait équipe avec le pirate excentrique ""Capitaine"" Jack Sparrow pour sauver la fille du gouverneur dont il est amoureux des anciens alliés pirates de Jack, à présent devenus morts-vivants.","Action,Aventure,Fantastique",Anglais,États-Unis,Tous publics,8.1,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Damian O'Hare,Giles New,Angus Barnett,David Bailie,Michael Berry Jr.,Isaac C. Singleton Jr.,Kevin McNally,Treva Etienne,Zoe Saldana,Guy Siner",,
Les raisins de la colère,The Grapes of Wrath,31 décembre 1947,129,"Une famille pauvre du Midwest américain est forcée de quitter ses terres. Ils voyagent vers la Californie, subissant les malheurs des sans-abri de la Grande Dépression.",Drame,Anglais,États-Unis,Tous publics,8.1,"Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,Dorris Bowdon,Russell Simpson,O.Z. Whitehead,John Qualen,Eddie Quillan,Zeffie Tilbury,Frank Sully,Frank Darien,Darryl Hickman,Shirley Mills,Roger Imhof,Grant Mitchell,Charles D. Brown,John Arledge",,
Hatchi,A Dog's Tale,9 juin 2010,93,Un professeur d'université se lie à un chien errant qu'il ramène chez lui.,"Biographique,Drame,Famille","Anglais,Japonais","Royaume-Uni,États-Unis",Tous publics,8.1,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,Jason Alexander,Erick Avari,Davenia McFadden,Robbie Sublett,Kevin DeCoste,Rob Degnan,Tora Hallström,Donna Sorbello,Frank S. Aronson,Troy Doherty,Ian Sherman,Timothy Crowe,Denece Ryland,Blake Friedman",,
La haine,La haine,31 mai 1995,98,24 heures dans la vie de trois jeunes de banlieue en France au lendemain de violentes émeutes.,"Policier,Drame",Français,"France,États-Unis",Tous publics,8.1,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,Solo,Joseph Momo,Héloïse Rauth,Rywka Wajsbrot,Olga Abrego,Laurent Labasse,Choukri Gabteni,Nabil Ben Mhamed,Benoît Magimel,Médard Niang,Arash Mansour,Abdel-Moulah Boujdouni,Mathilde Vitry,Christian Moro",,
La bataille d'Alger,La battaglia di Algeri,21 octobre 1971,121,"Dans les années 50, la peur et la violence s'intensifient alors que les habitants d'Alger se battent pour leur indépendance contre le gouvernement français.","Drame,Guerre","Arabe,Français,Anglais","Italie,Algérie",Tous publics,8.1,"Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,Ugo Paletti,Fusia El Kader,Mohamed Ben Kassen,Franco Moruzzi,Tommaso Neri,Rouïched,Gene Wesson",,
The Venture Bros.,The Venture Bros.,16 février 2003,22,"Les vives et étranges aventures du savant pseudo-héroïque Dr. Rusty Venture, de son garde du corps compétent et très nerveux, et de ses deux fils trop enthousiastes.","Animation,Action,Aventure",Anglais,États-Unis,TV-MA,8.6,"Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",7,86
Six sexy,Coupling,6 décembre 2000,30,Six meilleurs amis parlent de tous les aspects du sexe et des relations dans leur quête sans fin pour trouver le véritable amour.,"Comédie,Romantique",Anglais,Royaume-Uni,TV-14,8.6,"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Raji James,William Scott-Masson",4,28
Jeu dangereux,To Be or Not to Be,21 mai 1947,99,"Pendant l'occupation nazie de la Pologne, une troupe de comédiens se retrouve mêlée aux efforts d'un soldat polonais pour traquer un espion allemand.","Comédie,Romantique,Guerre","Anglais,Allemand,Français",États-Unis,Tous publics,8.2,"Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,Lionel Atwill,Stanley Ridges,Sig Ruman,Tom Dugan,Charles Halton,George Lynn,Henry Victor,Maude Eburne,Halliwell Hobbes,Miles Mander,Rudolph Anders,Paul Barrett,Sven Hugo Borg,Danny Borzage",,
La Ligue des justiciers,Justice League,3 mars 2002,22,Les sept héros les plus redoutables au monde forment l'équipe la plus puissante de tous les temps.,"Animation,Action,Aventure",Anglais,États-Unis,Tous Public,8.6,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",2,52
Flight of the Conchords,Flight of the Conchords,22 mars 2008,28,"Bret et Jemaine sont Flight of the Conchords, un groupe folk-rock néo-zélandais vivant à New York en quête de célébrité.","Comédie,Musical,Comédie Musicale",Anglais,"États-Unis,Nouvelle-Zélande",12,8.6,"Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",2,22
Dragon Ball,Doragon bôru,2 mars 1988,24,"Son Gokû, un combattant avec une queue de singe, part avec un groupe de personnages étranges à la recherche des Dragon Balls, des cristaux qui peuvent donner tout ce qu'il désire à celui qui les possède.","Animation,Action,Aventure",Japonais,Japon,Tous Public,8.6,"Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Naoki Tatsuta,Mami Koyama,Kenji Utsumi,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Aono,Tesshô Genda,Hiroko Emori,Shigeru Chiba",1,153
Dragon Ball,Dragon Ball,9 septembre 1995,24,"Dragon Ball raconte l'histoire d'un jeune guerrier nommé Son Goku, un jeune garçon particulier qui se lance dans une quête pour devenir plus fort et découvre le pouvoir des Dragon Balls.","Animation,Action,Aventure",Japonais,Japon,TV-14,8.6,"Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber",9,153
Impractical Jokers,Impractical Jokers,15 décembre 2011,30,"Q, Sal, Joe et Murr, meilleurs amis, adorent lancer les challenges aux défis et aux tours les plus outrageux jamais filmés sur caméra caché.","Comédie,Télé-réalité",Anglais,États-Unis,TV-14,8.6,"James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Drew Patterson,Frank Contacessa,Joey Fatone,John Szeluga,Bill St. James,Cole Weber,Joe Imburgio,Jay Miller,Daniel Cast,Bryan Johnson,Sharron Paul,Chavon Deberry",9,267
The Offer,The Offer,28 avril 2022,586,"Les expériences inédites du producteur oscarisé Albert S. Ruddy lors de la réalisation du film ""Le Parrain"".","Biographique,Drame",Anglais,États-Unis,18,8.6,"Miles Teller,Matthew Goode,Dan Fogler,Burn Gorman,Colin Hanks,Giovanni Ribisi,Juno Temple,Jake Cannavale,Lou Ferrigno,Josh Zuckerman,Anthony Ippolito,Meredith Garretson,Patrick Gallo,Joseph Russo,Anthony Skordi,Eric Balfour,Paul McCrane,Annie Funke",1,10
Chainsaw Man,Chainsaw Man,11 octobre 2022,25,"Suite à une trahison, un jeune homme laissé pour mort renaît sous la forme d'un puissant hybride humain-démon après avoir fusionné avec son démon de compagnie. Il est bientôt enrôlé dans une organisation dédiée à la chasse aux démons.","Animation,Action,Aventure",Japonais,Japon,TV-MA,8.8,"Kikunosuke Toya,Ryan Colt Levy,Tomori Kusunoki,Shogo Sakata,Suzie Yeung,Reagan Murdock,Fairouz Ai,Sarah Wiedenheft,Mariya Ise,Katelyn Barr,Karin Takahashi,Taku Yashiro,Bryn Apprill,Jarrod Greene,Kenjirô Tsuda,Jason Douglas,Shiori Izawa,Mitsutoshi Shundo",1,12
Formule 1: Pilotes de leur destin,Drive to Survive,8 mars 2019,40,Docuseries sur le Championnat du Monde de Formule 1 de la FIA 2018.,"Documentaire,Sport","Arabe,Anglais",Royaume-Uni,7,8.6,"Will Buxton,Jack Nicholls,Lewis Hamilton,Sebastian Vettel,Charles Leclerc,Max Verstappen,Daniel Ricciardo,Carlos Sainz,Sergio Pérez,Kimi Räikkönen,Valtteri Bottas,Lance Stroll,Kevin Magnussen,Pierre Gasly,Esteban Ocon,Lando Norris,George Russell,Toto Wolff",5,42
Crash Landing on You,Sa-rang-eui bul-sa-chak,14 décembre 2019,70,L'histoire d'amour secrète entre une héritière chaebol et un officier nord-coréen qui tombe amoureux d'elle et qui la protège après qu'elle se soit écrasée en parapente en Corée du Nord.,"Aventure,Comédie,Romantique",Coréen,Corée du Sud,13,8.7,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Kim Jung-nan,Jang So-yeon,Oh Man-seok,Cha Cheong-hwa,Go Gyu-pil,Park Hyoung-soo,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",1,19
The Bugs Bunny Show,The Bugs Bunny Show,11 octobre 1960,30,TV series featuring the classic Looney Tunes animated shorts.,"Animation,Comédie",Anglais,États-Unis,TV-G,8.6,"Mel Blanc,Pinto Colvig,Joe Bronx,June Foray,Jim Backus,Bea Benaderet,Hal Smith,Daws Butler,Stan Freberg,B.J. Ward,Billy Bletcher,Ben Frommer,Julie Bennett,Joan Gerber,Arthur Q. Bryan",3,78
Le jeu de la dame,The Queen's Gambit,23 octobre 2020,60,"En pleine guerre froide, Beth Harmon est une orpheline prodige des échecs. Suivez-la dans sa quête pour devenir la plus grande joueuse d'échecs du monde tout en affrontant des problèmes d'addiction.",Drame,"Anglais,Français,Espagnol,Russe",États-Unis,16,8.6,"Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari",1,7
The Haunting of Hill House,The Haunting of Hill House,12 octobre 2018,572,Inspiré du roman The Haunting of Hill House de Shirley Jackson.,"Drame,Horreur,Mystère",Anglais,États-Unis,16,8.6,"Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Natalia Rosminati,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet",1,10
Pose,Pose,6 juin 2018,60,"Dans le monde de 1987, Pose ""examine la juxtaposition de plusieurs segments de la vie et de la société à New York: l'essor de l'univers du luxe, la scène sociale et littéraire du centre-ville et la culture du bal"".",Drame,Anglais,États-Unis,12,8.6,"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard",3,26
The Eric Andre Show,The Eric Andre Show,20 mai 2012,11,"Eric Andre tente d'animer un talk-show dans un endroit bizarre, où il est parfois le farceur et parfois la victime.","Comédie,Talk-show",Anglais,États-Unis,TV-MA,8.6,"Eric André,Hannibal Buress,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,Robert Smith,John Bueno,Adora Dei,JV Smith,Pat Regan,Jermaine Fowler,Gary Anthony Williams,Tom Kane,Felipe Esparza,Karen Elaine,Duane R. Shepard Sr.,Don Peake",6,60
Boardwalk Empire,Boardwalk Empire,19 décembre 2010,55,"Un homme politique d'Atlantic City dans le New Jersey joue des deux côtés de la loi, conspirant avec des gangsters à l'époque de la prohibition.","Policier,Drame",Anglais,États-Unis,16,8.6,"Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",5,57
The Newsroom,The Newsroom,17 novembre 2012,55,"Une salle de rédaction subit des changements dans son fonctionnement et dans sa moralité lors de l'introduction d'une nouvelle équipe, apportant des résultats inattendus pour le présentateur du journal télévisé.",Drame,Anglais,États-Unis,10,8.6,"Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina",3,25
Justified,Justified,20 janvier 2011,44,"Le maréchal américain Raylan Givens, un ancien de la vieille école, est transféré de Miami à sa région natale pauvre et minière de l'est du Kentucky.","Action,Policier,Drame",Anglais,États-Unis,Tous publics,8.6,"Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson,Kaitlyn Dever",6,78
Hercule Poirot,Poirot,4 décembre 1995,100,"De l'Angleterre à l'Égypte, l'excentrique et excellent détective Hercule Poirot, accompagné de ses élégants compagnons dignes de confiance, oppose son esprit à un ensemble de supercheries de première classe.","Policier,Drame,Mystère","Anglais,Français",Royaume-Uni,Tous publics,8.6,"David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,David Yelland,Zoë Wanamaker,Richard Bebb,George Little,Phillip Manikum,Jona Jones,Patrick Ryecart,Nicholas Farrell,Barbara Barnes,John Carson,Richard Hope,Richard Durden,Sean Pertwee,Beatie Edney",13,70
Making a Murderer,Making a Murderer,18 décembre 2015,60,"Filmé sur une période de 10 ans, Steven Avery, innocenté par un test d'ADN, se retrouve suspect principal d'un nouveau crime effroyable alors qu'il tente de dénoncer la corruption dans les forces de l'ordre locales.","Documentaire,Policier",Anglais,États-Unis,16,8.6,"Steven Avery,Dolores Avery,Laura Nirider,Jerry Buting,Dean Strang,Allan Avery,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Len Kachinsky,Steven Drizin,Kim Ducat,Sandra Greenman,Stephen Glynn,Robert Dvorak,Peter Dassey,Chuck Avery",2,20
Yes Minister,Yes Minister,25 février 1980,30,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Comédie,Anglais,Royaume-Uni,TV-PG,8.7,"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,John Nettleton,Neil Fitzwiliam,Arthur Cox,John Savident,John Pennington,Antony Carrick,Robert Dougall,Richard Vernon,Tenniel Evans,John Barron,Ian Lavender,Nigel Stock,Edward Jewesbury,Rosemary Williams",3,22
Mr. Bean,Mr. Bean,8 septembre 1996,25,"M. Bean a de la difficulté à accomplir les tâches les plus simples de la vie quotidienne, mais sa persévérance et sa débrouillardise lui permettent souvent de trouver des moyens ingénieux de résoudre les problèmes.","Comédie,Famille",Anglais,Royaume-Uni,Tous publics,8.6,"Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Paul Bown,Dave O'Higgins,Angus Deayton,Richard Wilson,Michael Fenton Stevens",1,15
Dopesick,Dopesick,11 novembre 2021,492,"La découverte de l'épicentre de la lutte de l'Amérique contre la dépendance aux opioïdes, des salles de réunion de Purdue Pharma à une communauté minière de Virginie en détresse, en passant par les couloirs de la DEA.",Drame,Anglais,États-Unis,16,8.6,"Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,John Hoogenakker,Kaitlyn Dever,Rosario Dawson,Will Chase,Mare Winningham,Ray McKinnon,Phillipa Soo,Ian Unterman,Brendan Patrick Connor,Raúl Esparza,Lawrence Arancio,Arischa Conner,Andrea Frankle,Deadra Moore",1,8
Anne with an E,Anne,12 mai 2017,60,"Les aventures d'une jeune orpheline vivant à la fin du XIXème siècle. Anne apprend à gérer sa nouvelle vie sur l'Île-du-Prince-Édouard, dans cette nouvelle interprétation des romans de L.M. Montgomery.","Drame,Famille","Micmac,Français,Anglais",Canada,13,8.7,"Amybeth McNulty,Geraldine James,R.H. Thomson,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn,Philip Williams",3,27
The Rehearsal,The Rehearsal,15 juillet 2022,30,Nathan Fielder donne aux gens une chance de répéter pour leur propre vie dans un monde où rien ne se passe jamais comme prévu.,"Documentaire,Comédie",Anglais,États-Unis,TV-MA,8.6,"Nathan Fielder,Journey Baker,Anna Lamadrid,Sawyer J. Bell,Lennon O'Flynn,James O'Neill,Alexander Leiss,Remy Taylor,Joshua James Benard,Liam Risinger,Jennifer Khoe,Thomas McNamara,Gigi Burgdorf,Isaac Lamb,Charlie Cherman,K. Todd Freeman,Vincent Cefalu,Keaton Fields",1,7
Haikyuu!!,Haikyuu!!,6 avril 2014,24,"Déterminé à être devenir comme le joueur vedette du championnat de volleyball Shouyou, un petit garçon surnommé «le petit géant», rejoint le club de volley-ball de son école.","Animation,Comédie,Drame",Japonais,Japon,Tous publics,8.7,"Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,Miyu Irino,Koki Uchiyama,Sôma Saitô,Nobuhiko Okamoto,Yoshimasa Hosoya,Hiroshi Kamiya,Toshiki Masuda,Bryson Baugus,Adam Gibbs,Scott Gibbs,Gabriel Regojo,Greg Cote,Justin Doran,Blake Shepard",4,89
Bleach: Thousand-Year Blood War,Sennen Kessen-hen,11 octobre 2022,24,La paix est soudainement rompue lorsque des sirènes d'alerte retentissent dans la Soul Society. Des habitants disparaissent sans laisser de trace et personne ne sait qui est derrière tout cela.,"Animation,Action,Aventure",Japonais,Japon,TV-MA,9.4,"Masakazu Morita,Takayuki Sugô,Binbin Takaoka,Yuichiro Umehara,Johnny Yong Bosch,Richard Epcar,Aleks Le,Neil Kaplan,Noriaki Sugiyama,Akio Ôtsuka,Ryûsei Nakao,Keijin Okuda,Yuki Matsuoka,Hiroki Yasumoto,Shin'ichirô Miki,Robbie Daymond,Stephanie Sheh,Derek Stephen Prince",1,10
QI,QI,11 septembre 2003,30,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Comédie,Jeu télévisé",Anglais,Royaume-Uni,TV-PG,8.6,"Alan Davies,Stephen Fry,Sandi Toksvig,Bill Bailey,Phill Jupitus,Jimmy Carr,Jo Brand,David Mitchell,Sean Lock,Rich Hall,Ross Noble,Jason Manford,Josh Widdicombe,Aisling Bea,Holly Walsh,Clive Anderson,Sue Perkins,Rob Brydon",20,322
Critical Role,Critical Role,12 mars 2015,180,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","Aventure,Fantastique",Anglais,États-Unis,TV-14,9.3,"Matthew Mercer,Liam O'Brien,Marisha Ray,Laura Bailey,Sam Riegel,Taliesin Jaffe,Travis Willingham,Ashley Johnson,Zachary K. Eubank,Orion Acaba,Brian W. Foster,Robbie Daymond,Mary Elizabeth McGlynn,Erika Ishii,Ashly Burch,Will Friedle,Ryan Green,Darin De Paul",3,360
Mindhunter,Mindhunter,13 octobre 2017,60,"À la fin des années 1970, deux agents du FBI sont chargés d'interviewer des tueurs en série pour résoudre des affaires en cours.","Policier,Drame,Mystère",Anglais,États-Unis,16,8.6,"Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,Sonny Valicenti,Stacey Roca,Joe Tuttle,Zachary Scott Ross,Cotter Smith,Albert Jones,Lauren Glazier,Michael Cerveris,Dohn Norwood,Gareth Williams,June Carryl,Cameron Britton,Nate Corddry,Sierra Aylina McClain",2,19
Yeh Meri Family,Yeh Meri Family,12 juillet 2018,30,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"Comédie,Drame,Famille",Hindi,Inde,TV-14,9.0,"Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Prasad Reddy,Revathi Pillai,Brij Bhushan Shukla,Nishaad Javeri,Jai Shankar Tripathi,Burjor Dastur,Mazda Taraporewala,Abhinay Raj Singh,Dinesh,Aman Malhotra,Mukesh Yadav,Vijay Koshy,Rajiv Kachroo",1,7
Gomorra: La serie,Gomorra: La serie,19 janvier 2015,55,Ciro ne tient pas compte de la tradition dans sa tentative de devenir le prochain patron de son organisation criminelle. La lutte pour le pouvoir interne met sa vie et celle de toute sa famille en danger.,"Policier,Drame,Thriller","Italien,Napolitain","Italie,Allemagne",12,8.7,"Salvatore Esposito,Marco D'Amore,Ivana Lotito,Cristiana Dell'Anna,Alessandro Palladino,Fortunato Cerlino,Arturo Muselli,Roberto Oliveri,Brian Flaccus,Fabio De Caro,Cristina Donadio,Christian Giroso,Giovanni Buselli,Vincenzo Fabricino,Riccardo Ciccarelli,Carmine Monaco,Lino Musella,Gianni Spezzano",5,58
Blackadder the Third,Blackadder the Third,17 septembre 1987,180,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Comédie,Anglais,Royaume-Uni,TV-PG,8.6,"Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,Robbie Coltrane,Hugh Paddick,Miranda Richardson,Stephen Fry,Tim McInnerny,Kenneth Connor,Vincent Hanna,Warren Clarke,Nigel Planer,Denis Lill,Lee Cornes,Gertan Klauber,Chris Barrie,Ben Elton",1,6
